,block,plot,warm,precip,clip,X16S,ITS,temperature_annual,moisture_samplingmonth,annual_moisture,NO3.N,NH4.N,TN,TC,pH,FlTotl,FlC4,FlC3,plant.richness
N01,B1,N01,1,1,0,5536.142857,248.4285714,19.85691277,6.672857143,7.042592764,16.72571429,3.411428571,0.088857143,0.765428571,6.424285714,249.4769482,104.5161733,144.8179178,6.555555556
N02,B1,N02,1,0.5,0,5929,364.7142857,19.67419268,6.636190476,7.167810582,30.69714286,5.04,0.099142857,0.893571429,6.121428571,253.0296366,72.56245073,180.4671858,5.222222222
N03,B1,N03,0,1,0,6650.857143,462.8571429,17.75364263,7.653333334,8.908049808,7.307142857,2.587142857,0.085,0.716142857,6.457142857,297.3766378,76.07968441,221.2969534,6.666666667
N04,B2,N04,1,2,0,6125.428571,415.8571429,20.39854503,7.955714286,8.573583083,17.05285714,3.295714286,0.093285714,0.806857143,6.29,304.7629454,81.88986618,222.8730792,6.222222222
N05,B2,N05,1,0.5,0,5861.714286,367.1428571,21.57183125,6.623809524,7.601970053,26.09857143,2.762857143,0.091,0.766714286,6.148571429,293.5487633,121.2897311,172.4018893,5.555555556
N06,B2,N06,0,1,0,6284.714286,402,17.71696514,7.287142857,8.248860544,15.58285714,3.268571429,0.086428571,0.714428571,6.104285714,263.1996609,55.88567391,207.1711299,6.444444444
N07,B1,N07,1,2,0,6274.571429,304.2857143,20.27092406,7.717619048,8.496888409,19.85142857,5.238571429,0.111285714,1.024857143,6.408571429,339.4355143,180.0444073,159.391107,5.555555556
N08,B1,N08,0,0.5,0,6443.857143,449.1428571,18.25308403,8.807142857,9.494131997,31.41571429,5.78,0.126857143,1.206285714,6.351428571,318.5225013,138.9499007,179.5726006,6.888888889
N09,B1,N09,0,2,0,6855.285714,480.4285714,18.15292508,9.417142858,10.31554095,11.86428571,2.774285714,0.088428571,0.731,6.315714286,233.4160659,72.80546081,160.4677479,5.666666667
N10,B2,N10,1,1,0,6176.285714,424.7142857,20.32043005,6.997142857,7.976295134,11.36,2.972857143,0.093428571,0.824428571,6.524285714,238.3324123,59.09227946,179.2401328,5.555555556
N11,B2,N11,0,0.5,0,6342.714286,457.1428571,18.43830835,7.549047619,9.262322082,16.97,3.452857143,0.094857143,0.841428571,6.441428571,269.4539001,101.526531,167.9273691,5.333333333
N12,B2,N12,0,2,0,6373.714286,389.5714286,17.25456092,7.751904762,9.678961539,9.415714286,3.885714286,0.110857143,1.019857143,6.465714286,242.8531524,56.28689909,186.7091105,6
N13,B3,N13,0,0.5,0,6487.142857,423.5714286,17.15222643,9.110952381,8.438760121,14.33428571,4.202857143,0.120428571,1.162142857,6.434285714,288.6057161,92.90182176,195.9896086,6.777777778
N14,B3,N14,0,2,0,6787.714286,405.5714286,16.94858942,9.89,10.17131912,5.317142857,3.552857143,0.101428571,0.979,6.557142857,333.3884786,126.0051142,207.2405072,5.777777778
N15,B3,N15,1,0.5,0,4658,277.5714286,19.79954573,6.302380952,7.269570001,18.80285714,5.085714286,0.090571429,0.812428571,6.134285714,266.5523206,126.5370908,140.0152297,5.555555556
N16,B4,N16,1,1,0,5293.571429,268,19.71139218,7.158095239,8.334140289,40.19714286,5.517142857,0.112857143,1.04,6.047142857,278.7139002,123.4959723,155.3607851,5.111111111
N17,B4,N17,0,2,0,6698.428571,522.8571429,16.99805522,9.203809523,10.2310641,8.982857143,2.778571429,0.087857143,0.801428571,6.535714286,377.0215611,78.65609484,298.3654662,6.333333333
N18,B4,N18,1,0.5,0,5744.857143,351.5714286,19.23237553,6.777142858,7.188058727,8.615714286,2.978571429,0.097714286,0.974714286,6.331428571,290.853155,132.4314796,158.4216754,5.111111111
N19,B3,N19,0,1,0,6112.142857,485.5714286,16.92215288,8.963333334,9.003646306,15.33428571,3.544285714,0.105714286,0.996571429,6.365714286,279.9197698,149.4190415,130.5007283,4.777777778
N20,B3,N20,1,1,0,5499.428571,337.1428571,18.67135522,8.251428571,8.829312235,20.68142857,3.692857143,0.099285714,0.928428571,6.295714286,309.8524134,158.7550275,150.9545288,3.888888889
N21,B3,N21,1,2,0,5095.571429,405.7142857,19.98320463,8.90952381,9.050024571,16.64428571,4,0.094571429,0.889428571,5.812857143,325.7629493,180.5340935,145.371713,4.333333333
N22,B4,N22,1,2,0,6314,363.1428571,19.13658619,8.366666667,8.273605395,14.69857143,5.632857143,0.140285714,1.500714286,6.527142857,298.003677,74.8987234,223.1049536,4.222222222
N23,B4,N23,0,1,0,6261.142857,402.8571429,17.22283899,7.295714285,8.39428054,9.367142857,4.417142857,0.105857143,1.096142857,6.36,316.0417942,109.6014335,206.4403607,5
N24,B4,N24,0,0.5,0,5980,440.4285714,16.92247805,8.04047619,9.738732506,14.44,4.415714286,0.112571429,1.123428571,6.715714286,338.0199882,185.8128529,152.2071353,6.333333333
S01,B1,S01,1,1,1,6599,396.25,19.91748289,6.712083334,7.473020677,20.24142857,2.95,0.090714286,0.792714286,6.38,267.8302412,113.249333,154.5809082,6.6
S02,B1,S02,1,0.5,1,6376.125,306.25,20.89532499,7.575416666,7.351530085,28.21142857,5.412857143,0.095285714,0.845571429,6.332857143,214.1399023,78.65918818,135.4807141,5.7
S03,B1,S03,0,1,1,6627,447,16.98986664,7.770833333,9.256865728,5.51,2.861428571,0.087857143,0.764142857,6.49,288.7541735,168.338753,120.4154205,6.4
S04,B2,S04,1,2,1,6470.75,436.375,20.71836503,7.88375,8.046249657,7.225714286,3.462857143,0.082714286,0.698714286,6.367142857,291.2557391,118.5200544,172.7356846,6.8
S05,B2,S05,1,0.5,1,6088.375,386.625,21.61750814,7.76,7.596028617,17.45,3.714285714,0.098857143,0.883142857,6.165714286,254.3106312,82.66624917,171.6443821,6.4
S06,B2,S06,0,1,1,6489.75,438.25,18.15397447,8.01625,9.01539267,8.514285714,3.157142857,0.091,0.781857143,6.257142857,437.9236267,132.365089,305.5585377,6.5
S07,B1,S07,1,2,1,6493.625,436.875,20.87289687,9.271666667,9.704228479,13.67428571,3.28,0.095285714,0.861142857,6.582857143,341.4992172,186.6161824,154.8830348,5.4
S08,B1,S08,0,0.5,1,6395.25,501,18.34821879,7.83625,9.259831617,8.344285714,3.171428571,0.087571429,0.783428571,6.381428571,260.3455196,137.8462705,122.4992491,7.4
S09,B1,S09,0,2,1,6857.125,486.875,17.58061449,10.26958333,10.14992159,5.312857143,3.184285714,0.079714286,0.686142857,6.382857143,334.2996535,144.2522097,190.0474438,5.4
S10,B2,S10,1,1,1,6267.125,446.5,19.94972812,8.0825,7.943464056,22.27857143,4.3,0.099,0.891857143,6.288571429,228.4597322,14.14616361,214.3135686,6.3
S11,B2,S11,0,0.5,1,6629.25,379.625,17.86331038,7.205416666,8.592468177,10.50142857,3.678571429,0.106714286,0.974714286,6.54,284.9201496,77.63205196,207.2880977,7.1
S12,B2,S12,0,2,1,6835.75,455.625,16.50251045,8.008333333,10.08286332,4.178571429,3.721428571,0.102714286,0.956714286,6.357142857,273.9499833,111.2270723,162.722911,7.3
S13,B3,S13,0,0.5,1,6676.875,518.125,17.21178001,7.638333333,8.65842569,7.331428571,3.147142857,0.096428571,0.899857143,6.568571429,319.4097524,135.7890958,183.6206565,7.2
S14,B3,S14,0,2,1,6592.875,461.875,19.74569334,10.29166667,10.26436004,3.284285714,3.665714286,0.100142857,0.95,6.574285714,490.4505208,421.1349389,69.31558191,5.6
S15,B3,S15,1,0.5,1,4994.25,410.375,20.80744316,6.176666667,6.756202163,29.24857143,6.978571429,0.107571429,0.994857143,6.29,353.9085272,206.5609304,147.3475968,6.2
S16,B4,S16,1,1,1,5539.375,383.5,20.46910007,7.850416667,8.562462111,20.51142857,4.272857143,0.098857143,0.894571429,6.225714286,302.7817016,216.1312937,86.65040787,6.2
S17,B4,S17,0,2,1,6941.625,485.125,17.40192506,9.2725,10.04319322,7.512857143,2.478571429,0.085428571,0.793428571,6.597142857,414.8994522,273.001842,141.8976102,6.7
S18,B4,S18,1,0.5,1,5813.125,384.625,20.51225112,7.4825,7.148581897,20.69571429,3.067142857,0.094142857,0.872571429,6.358571429,319.9634776,151.9256222,168.0378553,6.5
S19,B3,S19,0,1,1,6345.5,415.625,17.66025644,8.591666667,9.715763975,11.02285714,2.842857143,0.087142857,0.785428571,6.442857143,307.0094445,112.3956981,194.6137464,5.2
S20,B3,S20,1,1,1,6142.5,450.25,20.08639388,9.040833333,8.46482864,22.57142857,4.537142857,0.109714286,1.059714286,6.27,397.2893139,220.2637378,177.0255761,5.6
S21,B3,S21,1,2,1,6248.875,405.125,19.74221541,10.24583333,9.619645104,12.08285714,5.432857143,0.113857143,1.123857143,6.318571429,540.2231333,434.8297119,105.3934214,4.9
S22,B4,S22,1,2,1,6326,485.5,19.3528347,8.612916666,8.900085612,15.94285714,3.475714286,0.109428571,1.081285714,6.478571429,433.1571642,234.0617602,199.095404,6.6
S23,B4,S23,0,1,1,6328.25,486.375,17.29866803,8.4425,8.956500478,8.177142857,3.548571429,0.112571429,1.158857143,6.535714286,353.8390254,135.2605344,218.578491,5.3
S24,B4,S24,0,0.5,1,6510.5,479.25,17.26279025,8.496666667,9.341021375,11.72142857,6.292857143,0.101857143,1.008,6.568571429,280.8079627,156.012711,124.7952517,6.6